MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,ExterQual,ExterCond,Foundation,BsmtFinType1,BsmtFinSF1,TotalBsmtSF,Heating,HeatingQC,CentralAir,GrLivArea,BsmtFullBath,BsmtHalfBath,TotalFullBath,TotalHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,PavedDrive,YrSold,SaleCondition,SalePrice
60,RL,65,8450,Reg,CollgCr,1Fam,2Story,7,5,2003,2003,VinylSd,Gd,TA,PConc,GLQ,706,856,GasA,Ex,Y,1710,1,0,3,1,2,1,3,1,Gd,8,0,2,Y,2008,Normal,208500
20,RL,80,9600,Reg,Veenker,1Fam,1Story,6,8,1976,1976,MetalSd,TA,TA,CBlock,ALQ,978,1262,GasA,Ex,Y,1262,0,1,2,1,2,0,3,1,TA,6,1,2,Y,2007,Normal,181500
60,RL,68,11250,IR1,CollgCr,1Fam,2Story,7,5,2001,2002,VinylSd,Gd,TA,PConc,GLQ,486,920,GasA,Ex,Y,1786,1,0,3,1,2,1,3,1,Gd,6,1,2,Y,2008,Normal,223500
70,RL,60,9550,IR1,Crawfor,1Fam,2Story,7,5,1915,1970,Wd Sdng,TA,TA,BrkTil,ALQ,216,756,GasA,Gd,Y,1717,1,0,2,0,1,0,3,1,Gd,7,1,3,Y,2006,Abnorml,140000
60,RL,84,14260,IR1,NoRidge,1Fam,2Story,8,5,2000,2000,VinylSd,Gd,TA,PConc,GLQ,655,1145,GasA,Ex,Y,2198,1,0,3,1,2,1,4,1,Gd,9,1,3,Y,2008,Normal,250000
50,RL,85,14115,IR1,Mitchel,1Fam,1.5Fin,5,5,1993,1995,VinylSd,TA,TA,Wood,GLQ,732,796,GasA,Ex,Y,1362,1,0,2,1,1,1,1,1,TA,5,0,2,Y,2009,Normal,143000
20,RL,75,10084,Reg,Somerst,1Fam,1Story,8,5,2004,2005,VinylSd,Gd,TA,PConc,GLQ,1369,1686,GasA,Ex,Y,1694,1,0,3,0,2,0,3,1,Gd,7,1,2,Y,2007,Normal,307000
60,RL,NA,10382,IR1,NWAmes,1Fam,2Story,7,6,1973,1973,HdBoard,TA,TA,CBlock,ALQ,859,1107,GasA,Ex,Y,2090,1,0,3,1,2,1,3,1,TA,7,2,2,Y,2009,Normal,200000
50,RM,51,6120,Reg,OldTown,1Fam,1.5Fin,7,5,1931,1950,BrkFace,TA,TA,BrkTil,Unf,0,952,GasA,Gd,Y,1774,0,0,2,0,2,0,2,2,TA,8,2,2,Y,2008,Abnorml,129900
190,RL,50,7420,Reg,BrkSide,2fmCon,1.5Unf,5,6,1939,1950,MetalSd,TA,TA,BrkTil,GLQ,851,991,GasA,Ex,Y,1077,1,0,2,0,1,0,2,2,TA,5,2,1,Y,2008,Normal,118000
20,RL,70,11200,Reg,Sawyer,1Fam,1Story,5,5,1965,1965,HdBoard,TA,TA,CBlock,Rec,906,1040,GasA,Ex,Y,1040,1,0,2,0,1,0,3,1,TA,5,0,1,Y,2008,Normal,129500
60,RL,85,11924,IR1,NridgHt,1Fam,2Story,9,5,2005,2006,WdShing,Ex,TA,PConc,GLQ,998,1175,GasA,Ex,Y,2324,1,0,4,0,3,0,4,1,Ex,11,2,3,Y,2006,Partial,345000
20,RL,NA,12968,IR2,Sawyer,1Fam,1Story,5,6,1962,1962,HdBoard,TA,TA,CBlock,ALQ,737,912,GasA,TA,Y,912,1,0,2,0,1,0,2,1,TA,4,0,1,Y,2008,Normal,144000
20,RL,91,10652,IR1,CollgCr,1Fam,1Story,7,5,2006,2007,VinylSd,Gd,TA,PConc,Unf,0,1494,GasA,Ex,Y,1494,0,0,2,0,2,0,3,1,Gd,7,1,3,Y,2007,Partial,279500
20,RL,NA,10920,IR1,NAmes,1Fam,1Story,6,5,1960,1960,MetalSd,TA,TA,CBlock,BLQ,733,1253,GasA,TA,Y,1253,1,0,2,1,1,1,2,1,TA,5,1,1,Y,2008,Normal,157000
45,RM,51,6120,Reg,BrkSide,1Fam,1.5Unf,7,8,1929,2001,Wd Sdng,TA,TA,BrkTil,Unf,0,832,GasA,Ex,Y,854,0,0,1,0,1,0,2,1,TA,5,0,2,Y,2007,Normal,132000
20,RL,NA,11241,IR1,NAmes,1Fam,1Story,6,7,1970,1970,Wd Sdng,TA,TA,CBlock,ALQ,578,1004,GasA,Ex,Y,1004,1,0,2,0,1,0,2,1,TA,5,1,2,Y,2010,Normal,149000
90,RL,72,10791,Reg,Sawyer,Duplex,1Story,4,5,1967,1967,MetalSd,TA,TA,Slab,NA,0,0,GasA,TA,Y,1296,0,0,2,0,2,0,2,2,TA,6,0,2,Y,2006,Normal,90000
20,RL,66,13695,Reg,SawyerW,1Fam,1Story,5,5,2004,2004,VinylSd,TA,TA,PConc,GLQ,646,1114,GasA,Ex,Y,1114,1,0,2,1,1,1,3,1,Gd,6,0,2,Y,2008,Normal,159000
20,RL,70,7560,Reg,NAmes,1Fam,1Story,5,6,1958,1965,BrkFace,TA,TA,CBlock,LwQ,504,1029,GasA,TA,Y,1339,0,0,1,0,1,0,3,1,TA,6,0,1,Y,2009,Abnorml,139000
60,RL,101,14215,IR1,NridgHt,1Fam,2Story,8,5,2005,2006,VinylSd,Gd,TA,PConc,Unf,0,1158,GasA,Ex,Y,2376,0,0,3,1,3,1,4,1,Gd,9,1,3,Y,2006,Partial,325300
45,RM,57,7449,Reg,IDOTRR,1Fam,1.5Unf,7,7,1930,1950,Wd Sdng,TA,TA,PConc,Unf,0,637,GasA,Ex,Y,1108,0,0,1,0,1,0,3,1,Gd,6,1,1,N,2007,Normal,139400
20,RL,75,9742,Reg,CollgCr,1Fam,1Story,8,5,2002,2002,VinylSd,Gd,TA,PConc,Unf,0,1777,GasA,Ex,Y,1795,0,0,2,0,2,0,3,1,Gd,7,1,2,Y,2008,Normal,230000
120,RM,44,4224,Reg,MeadowV,TwnhsE,1Story,5,7,1976,1976,CemntBd,TA,TA,PConc,GLQ,840,1040,GasA,TA,Y,1060,1,0,2,0,1,0,3,1,TA,6,1,2,Y,2007,Normal,129900
20,RL,NA,8246,IR1,Sawyer,1Fam,1Story,5,8,1968,2001,Plywood,TA,Gd,CBlock,Rec,188,1060,GasA,Ex,Y,1060,1,0,2,0,1,0,3,1,Gd,6,1,1,Y,2010,Normal,154000
20,RL,110,14230,Reg,NridgHt,1Fam,1Story,8,5,2007,2007,VinylSd,Gd,TA,PConc,Unf,0,1566,GasA,Ex,Y,1600,0,0,2,0,2,0,3,1,Gd,7,1,3,Y,2009,Normal,256300
20,RL,60,7200,Reg,NAmes,1Fam,1Story,5,7,1951,2000,Wd Sdng,TA,TA,CBlock,BLQ,234,900,GasA,TA,Y,900,0,1,1,1,1,0,3,1,Gd,5,0,2,Y,2010,Normal,134800
20,RL,98,11478,Reg,NridgHt,1Fam,1Story,8,5,2007,2008,VinylSd,Gd,TA,PConc,GLQ,1218,1704,GasA,Ex,Y,1704,1,0,3,0,2,0,3,1,Gd,7,1,3,Y,2010,Normal,306000
20,RL,47,16321,IR1,NAmes,1Fam,1Story,5,6,1957,1997,MetalSd,TA,TA,CBlock,BLQ,1277,1484,GasA,TA,Y,1600,1,0,2,0,1,0,2,1,TA,6,2,1,Y,2006,Normal,207500
30,RM,60,6324,IR1,BrkSide,1Fam,1Story,4,6,1927,1950,MetalSd,TA,TA,BrkTil,Unf,0,520,GasA,Fa,N,520,0,0,1,0,1,0,1,1,Fa,4,0,1,Y,2008,Normal,68500
70,C (all),50,8500,Reg,IDOTRR,1Fam,2Story,4,4,1920,1950,BrkFace,TA,Fa,BrkTil,Unf,0,649,GasA,TA,N,1317,0,0,1,0,1,0,3,1,TA,6,0,1,N,2008,Normal,40000
20,RL,NA,8544,IR1,Sawyer,1Fam,1Story,5,6,1966,2006,HdBoard,TA,TA,CBlock,Unf,0,1228,GasA,Gd,Y,1228,0,0,1,1,1,1,3,1,Gd,6,0,1,Y,2008,Normal,149350
20,RL,85,11049,Reg,CollgCr,1Fam,1Story,8,5,2007,2007,VinylSd,Gd,TA,PConc,Unf,0,1234,GasA,Ex,Y,1234,0,0,2,0,2,0,3,1,Gd,7,0,2,Y,2008,Normal,179900
20,RL,70,10552,IR1,NAmes,1Fam,1Story,5,5,1959,1959,BrkFace,TA,TA,CBlock,Rec,1018,1398,GasA,Gd,Y,1700,0,1,1,2,1,1,4,1,Gd,6,1,2,Y,2010,Normal,165500
120,RL,60,7313,Reg,NridgHt,TwnhsE,1Story,9,5,2005,2005,MetalSd,Ex,TA,PConc,GLQ,1153,1561,GasA,Ex,Y,1561,1,0,3,0,2,0,2,1,Ex,6,1,2,Y,2007,Normal,277500
60,RL,108,13418,Reg,NridgHt,1Fam,2Story,8,5,2004,2005,VinylSd,Gd,TA,PConc,Unf,0,1117,GasA,Ex,Y,2452,0,0,3,1,3,1,4,1,Gd,9,1,3,Y,2006,Normal,309000
20,RL,112,10859,Reg,CollgCr,1Fam,1Story,5,5,1994,1995,VinylSd,TA,TA,PConc,Unf,0,1097,GasA,Ex,Y,1097,0,0,1,1,1,1,3,1,TA,6,0,2,Y,2009,Normal,145000
20,RL,74,8532,Reg,NAmes,1Fam,1Story,5,6,1954,1990,Wd Sdng,TA,TA,CBlock,Rec,1213,1297,GasA,Gd,Y,1297,0,1,1,1,1,0,3,1,TA,5,1,2,Y,2009,Normal,153000
20,RL,68,7922,Reg,NAmes,1Fam,1Story,5,7,1953,2007,VinylSd,TA,Gd,CBlock,GLQ,731,1057,GasA,TA,Y,1057,1,0,2,0,1,0,3,1,Gd,5,0,1,Y,2010,Abnorml,109000
90,RL,65,6040,Reg,Edwards,Duplex,1Story,4,5,1955,1955,AsbShng,TA,TA,PConc,NA,0,0,GasA,TA,N,1152,0,0,2,0,2,0,2,2,Fa,6,0,0,N,2008,AdjLand,82000
20,RL,84,8658,Reg,NAmes,1Fam,1Story,6,5,1965,1965,Wd Sdng,TA,TA,CBlock,Rec,643,1088,GasA,Ex,Y,1324,0,0,2,0,2,0,3,1,TA,6,1,2,Y,2006,Abnorml,160000
20,RL,115,16905,Reg,Timber,1Fam,1Story,5,6,1959,1959,VinylSd,TA,Gd,CBlock,BLQ,967,1350,GasA,Gd,Y,1328,0,1,1,2,1,1,2,1,TA,5,2,1,P,2007,Normal,170000
85,RL,NA,9180,IR1,SawyerW,1Fam,SFoyer,5,7,1983,1983,HdBoard,TA,TA,CBlock,ALQ,747,840,GasA,Gd,Y,884,1,0,2,0,1,0,2,1,Gd,5,0,2,Y,2007,Normal,144000
20,RL,NA,9200,IR1,CollgCr,1Fam,1Story,5,6,1975,1980,VinylSd,TA,TA,CBlock,LwQ,280,938,GasA,TA,Y,938,1,0,2,0,1,0,3,1,TA,5,0,1,Y,2008,Normal,130250
20,RL,70,7945,Reg,NAmes,1Fam,1Story,5,6,1959,1959,BrkFace,TA,TA,CBlock,ALQ,179,1150,GasA,Ex,Y,1150,1,0,2,0,1,0,3,1,TA,6,0,1,Y,2006,Normal,141000
120,RL,61,7658,Reg,NridgHt,TwnhsE,1Story,9,5,2005,2005,MetalSd,Ex,TA,PConc,GLQ,456,1752,GasA,Ex,Y,1752,1,0,3,0,2,0,2,1,Ex,6,1,2,Y,2010,Normal,319900
50,RL,48,12822,IR1,Mitchel,1Fam,1.5Fin,7,5,2003,2003,VinylSd,Gd,TA,PConc,GLQ,1351,1434,GasA,Ex,Y,2149,1,0,2,1,1,1,1,1,Gd,6,1,2,Y,2009,Abnorml,239686
